flow_duration,total_fwd_packets,total_backward_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,flow_bytes_s,flow_packets_s,label
185.61544007633526,199,6,459.32913274563225,75.54094346863785,1836.0968634517676,148.90564335393552,797.5916689282157,104.24768549887642,0.23972378691085805,32489.808975748576,118.59010351606628,PortScan
93.34897954302181,59,29,2047.108119769588,438.6919206439946,206.33171324046552,22.25372498390112,346.89530774990016,39.553769717492465,26.06516579178426,4174.250129617432,84.99592750778612,BENIGN
89.9598908963053,48,28,1831.4763916516283,2445.310788603309,107.57267544341617,41.60373600199621,65.57304998935214,175.30826197049743,2.753865825642508,3617.2091896920115,216.8066186085234,BENIGN
1745.3473539422616,48,23,463.4494210379964,1280.9337485973388,302.1489032056295,1.633343117991052,84.4476868122839,582.0161038001536,33.7303396372656,3595.2890693385652,3.615269549102883,BENIGN
414.94569034036243,204,6,10493.80057879932,103.29102530802015,1771.5110064481344,10.510456767794716,698.4130539564968,58.45671463011561,4.266751528380085,131315.31013519637,72.75829051694122,DoS
18.208750138145103,207,4,2405.842488588665,116.51412618513302,698.7230348305584,21.824974148520607,492.78534741329486,38.27616764065324,18.739197854637155,102323.9204044349,989.047755495682,Web Attack
331.2177174208693,205,2,1998.8853718962853,49.332925160812785,374.09918394385807,94.43692231334612,820.8300254307717,23.57785319379951,13.146475436406673,14495.42776567674,433.2304252482281,Web Attack
889.872687551315,191,2,9421.679053276708,69.88834519535581,1222.3957711191213,14.260062759705777,682.93441723375,190.54212294206525,1.2476261575858751,143534.97160404886,336.9231072354873,DoS
317.36030714665617,198,6,2082.781000801551,377.43887112220045,1032.6298899723297,263.3944766364677,249.01648334013635,5.5936620943556,2.019936388503721,50882.33898018317,482.12092527059605,DoS
650.2554243248787,225,2,979.564105035626,387.6334121451878,1767.538699823356,16.551305772742555,1162.7713639584545,11.950757304922597,4.43081346515352,87378.1603345279,67.11844958173442,Web Attack
